1,1000000000000000000000000000000000000
0,0100000000000000000000000000000000000
 ,0010000000000000000000000000000000000
m,0001000000000000000000000000000000000
o,0000100000000000000000000000000000000
s,0000010000000000000000000000000000000
t,0000001000000000000000000000000000000
a,0000000100000000000000000000000000000
n,0000000010000000000000000000000000000
i,0000000001000000000000000000000000000
c,0000000000100000000000000000000000000
p,0000000000010000000000000000000000000
e,0000000000001000000000000000000000000
d,0000000000000100000000000000000000000
b,0000000000000010000000000000000000000
k,0000000000000001000000000000000000000
r,0000000000000000100000000000000000000
l,0000000000000000010000000000000000000
g,0000000000000000001000000000000000000
2,0000000000000000000100000000000000000
f,0000000000000000000010000000000000000
9,0000000000000000000001000000000000000
w,0000000000000000000000100000000000000
h,0000000000000000000000010000000000000
y,0000000000000000000000001000000000000
u,0000000000000000000000000100000000000
v,0000000000000000000000000010000000000
5,0000000000000000000000000001000000000
j,0000000000000000000000000000100000000
4,0000000000000000000000000000010000000
q,0000000000000000000000000000001000000
z,0000000000000000000000000000000100000
3,0000000000000000000000000000000010000
6,0000000000000000000000000000000001000
8,0000000000000000000000000000000000100
x,0000000000000000000000000000000000010
7,0000000000000000000000000000000000001
